Image ID, Detector, Descriptor, Matched Keypoints, TTC LiDAR, TTC Camera

0, HARRIS, BRISK, 0, 0, 0
1, HARRIS, BRISK, 74, 12.320080, nan
2, HARRIS, BRISK, 91, 12.219899, 10.585996
3, HARRIS, BRISK, 76, 14.746746, 26.290469
4, HARRIS, BRISK, 109, 16.509510, 10.978246
5, HARRIS, BRISK, 134, 15.583940, nan
6, HARRIS, BRISK, 124, 12.886679, nan
7, HARRIS, BRISK, 144, 11.981315, 11.694714
8, HARRIS, BRISK, 124, 13.120670, 17.620382
9, HARRIS, BRISK, 93, 13.020670, nan
10, HARRIS, BRISK, 77, 11.342427, nan
11, HARRIS, BRISK, 101, 12.588132, nan
12, HARRIS, BRISK, 87, 8.848173, nan
13, HARRIS, BRISK, 101, 9.960280, nan
14, HARRIS, BRISK, 99, 9.342840, nan
15, HARRIS, BRISK, 89, 8.363573, -13.626283
16, HARRIS, BRISK, 126, 10.278060, 6.657258
17, HARRIS, BRISK, 89, 9.611036, nan
18, HARRIS, BRISK, 73, 8.397584, nan
19, HARRIS, BRISK, 91, 8.842841, nan
20, HARRIS, BRISK, 117, 7.507805, 15.160489
21, HARRIS, BRISK, 116, 6.721826, 11.303524
22, HARRIS, BRISK, 110, 8.498739, nan
23, HARRIS, BRISK, 89, 8.080008, 12.420081
24, HARRIS, BRISK, 85, 7.329854, 9.900443
25, HARRIS, BRISK, 110, 6.985581, 14.516144
26, HARRIS, BRISK, 109, 6.964027, 12.701065
27, HARRIS, BRISK, 179, 6.943196, 70.306302
28, HARRIS, BRISK, 151, 8.386108, nan
29, HARRIS, BRISK, 155, 6.608878, nan
30, HARRIS, BRISK, 204, 10.335058, 10.863168
31, HARRIS, BRISK, 163, 10.056964, nan
32, HARRIS, BRISK, 95, 9.158701, -18.547624
33, HARRIS, BRISK, 90, 6.936604, -16.048689
34, HARRIS, BRISK, 141, 11.275957, 12.453898
35, HARRIS, BRISK, 92, 8.573839, nan
36, HARRIS, BRISK, 86, 9.188342, nan
37, HARRIS, BRISK, 168, 6.791257, 8.194107
38, HARRIS, BRISK, 116, 6.367849, 24.335612
39, HARRIS, BRISK, 118, 6.892141, nan
40, HARRIS, BRISK, 121, 5.925724, 6.056766
41, HARRIS, BRISK, 118, 5.661101, -20.814743
42, HARRIS, BRISK, 120, 6.190135, 115.817245
43, HARRIS, BRISK, 113, 6.497391, 11.436170
44, HARRIS, BRISK, 158, 5.778564, -20.903197
45, HARRIS, BRISK, 155, 7.144786, nan
46, HARRIS, BRISK, 141, 8.603588, nan
47, HARRIS, BRISK, 158, 8.201800, nan
48, HARRIS, BRISK, 153, 9.639516, nan
49, HARRIS, BRISK, 138, 12.752858, 126.312667
50, HARRIS, BRISK, 141, 13.017200, nan
51, HARRIS, BRISK, 211, 18.883202, nan
52, HARRIS, BRISK, 166, nan, nan
53, HARRIS, BRISK, 149, nan, nan
54, HARRIS, BRISK, 160, nan, nan
55, HARRIS, BRISK, 122, nan, nan
56, HARRIS, BRISK, 109, nan, nan
57, HARRIS, BRISK, 119, nan, nan
58, HARRIS, BRISK, 141, nan, nan
59, HARRIS, BRISK, 103, nan, nan
60, HARRIS, BRISK, 122, nan, nan

0, HARRIS, BRIEF, 0, 0, 0
1, HARRIS, BRIEF, 95, 12.320080, 10.908219
2, HARRIS, BRIEF, 120, 12.219899, nan
3, HARRIS, BRIEF, 95, 14.746746, nan
4, HARRIS, BRIEF, 146, 16.509510, 10.978246
5, HARRIS, BRIEF, 180, 15.583940, 35.383263
6, HARRIS, BRIEF, 174, 12.886679, 13.590710
7, HARRIS, BRIEF, 193, 11.981315, 13.496977
8, HARRIS, BRIEF, 174, 13.120670, nan
9, HARRIS, BRIEF, 122, 13.020670, nan
10, HARRIS, BRIEF, 109, 11.342427, 20.586216
11, HARRIS, BRIEF, 142, 12.588132, nan
12, HARRIS, BRIEF, 116, 8.848173, 12.244994
13, HARRIS, BRIEF, 131, 9.960280, 13.432725
14, HARRIS, BRIEF, 130, 9.342840, 5.606097
15, HARRIS, BRIEF, 121, 8.363573, nan
16, HARRIS, BRIEF, 174, 10.278060, 7.037751
17, HARRIS, BRIEF, 132, 9.611036, 12.584845
18, HARRIS, BRIEF, 100, 8.397584, nan
19, HARRIS, BRIEF, 135, 8.842841, 11.141484
20, HARRIS, BRIEF, 157, 7.507805, 12.872936
21, HARRIS, BRIEF, 152, 6.721826, 12.020898
22, HARRIS, BRIEF, 150, 8.498739, nan
23, HARRIS, BRIEF, 111, 8.080008, 11.730639
24, HARRIS, BRIEF, 110, 7.329854, 10.759948
25, HARRIS, BRIEF, 144, 6.985581, 14.516144
26, HARRIS, BRIEF, 132, 6.964027, 13.305091
27, HARRIS, BRIEF, 233, 6.943196, 70.306302
28, HARRIS, BRIEF, 196, 8.386108, 39.734148
29, HARRIS, BRIEF, 192, 6.608878, nan
30, HARRIS, BRIEF, 281, 10.335058, nan
31, HARRIS, BRIEF, 226, 10.056964, nan
32, HARRIS, BRIEF, 122, 9.158701, -17.321830
33, HARRIS, BRIEF, 105, 6.936604, 14.867341
34, HARRIS, BRIEF, 172, 11.275957, 11.769788
35, HARRIS, BRIEF, 121, 8.573839, 9.788064
36, HARRIS, BRIEF, 107, 9.188342, nan
37, HARRIS, BRIEF, 272, 6.791257, 7.126232
38, HARRIS, BRIEF, 146, 6.367849, 43.413914
39, HARRIS, BRIEF, 143, 6.892141, nan
40, HARRIS, BRIEF, 161, 5.925724, nan
41, HARRIS, BRIEF, 140, 5.661101, -23.173319
42, HARRIS, BRIEF, 139, 6.190135, 18.943586
43, HARRIS, BRIEF, 138, 6.497391, 120.766414
44, HARRIS, BRIEF, 192, 5.778564, -20.903197
45, HARRIS, BRIEF, 185, 7.144786, 183.342499
46, HARRIS, BRIEF, 185, 8.603588, -20.559215
47, HARRIS, BRIEF, 204, 8.201800, 18.426676
48, HARRIS, BRIEF, 193, 9.639516, nan
49, HARRIS, BRIEF, 163, 12.752858, nan
50, HARRIS, BRIEF, 164, 13.017200, nan
51, HARRIS, BRIEF, 258, 18.883202, nan
52, HARRIS, BRIEF, 196, nan, nan
53, HARRIS, BRIEF, 167, nan, nan
54, HARRIS, BRIEF, 169, nan, nan
55, HARRIS, BRIEF, 155, nan, -19.605963
56, HARRIS, BRIEF, 129, nan, 126.954742
57, HARRIS, BRIEF, 134, nan, nan
58, HARRIS, BRIEF, 172, nan, nan
59, HARRIS, BRIEF, 129, nan, nan
60, HARRIS, BRIEF, 132, nan, nan

0, HARRIS, ORB, 0, 0, 0
1, HARRIS, ORB, 93, 12.320080, 10.908219
2, HARRIS, ORB, 106, 12.219899, nan
3, HARRIS, ORB, 93, 14.746746, nan
4, HARRIS, ORB, 133, 16.509510, 10.978246
5, HARRIS, ORB, 173, 15.583940, 35.383263
6, HARRIS, ORB, 159, 12.886679, nan
7, HARRIS, ORB, 180, 11.981315, 13.190481
8, HARRIS, ORB, 160, 13.120670, nan
9, HARRIS, ORB, 105, 13.020670, nan
10, HARRIS, ORB, 97, 11.342427, nan
11, HARRIS, ORB, 131, 12.588132, 11.741430
12, HARRIS, ORB, 108, 8.848173, 12.244994
13, HARRIS, ORB, 126, 9.960280, nan
14, HARRIS, ORB, 119, 9.342840, 5.660966
15, HARRIS, ORB, 111, 8.363573, nan
16, HARRIS, ORB, 155, 10.278060, 10.932493
17, HARRIS, ORB, 115, 9.611036, 12.584845
18, HARRIS, ORB, 95, 8.397584, nan
19, HARRIS, ORB, 122, 8.842841, nan
20, HARRIS, ORB, 144, 7.507805, 13.061724
21, HARRIS, ORB, 151, 6.721826, 12.020898
22, HARRIS, ORB, 137, 8.498739, 13.536163
23, HARRIS, ORB, 100, 8.080008, nan
24, HARRIS, ORB, 105, 7.329854, 10.759948
25, HARRIS, ORB, 124, 6.985581, 14.516144
26, HARRIS, ORB, 130, 6.964027, 12.050750
27, HARRIS, ORB, 209, 6.943196, 11.125471
28, HARRIS, ORB, 181, 8.386108, 39.734148
29, HARRIS, ORB, 180, 6.608878, nan
30, HARRIS, ORB, 255, 10.335058, nan
31, HARRIS, ORB, 204, 10.056964, nan
32, HARRIS, ORB, 109, 9.158701, -17.321830
33, HARRIS, ORB, 106, 6.936604, nan
34, HARRIS, ORB, 167, 11.275957, 11.769788
35, HARRIS, ORB, 105, 8.573839, nan
36, HARRIS, ORB, 102, 9.188342, nan
37, HARRIS, ORB, 235, 6.791257, 8.645803
38, HARRIS, ORB, 138, 6.367849, 11.033955
39, HARRIS, ORB, 132, 6.892141, nan
40, HARRIS, ORB, 154, 5.925724, -19.809341
41, HARRIS, ORB, 132, 5.661101, 11.258069
42, HARRIS, ORB, 136, 6.190135, 18.943586
43, HARRIS, ORB, 136, 6.497391, 120.766414
44, HARRIS, ORB, 177, 5.778564, 20.038018
45, HARRIS, ORB, 174, 7.144786, nan
46, HARRIS, ORB, 168, 8.603588, -20.559215
47, HARRIS, ORB, 183, 8.201800, nan
48, HARRIS, ORB, 174, 9.639516, nan
49, HARRIS, ORB, 151, 12.752858, nan
50, HARRIS, ORB, 161, 13.017200, nan
51, HARRIS, ORB, 241, 18.883202, nan
52, HARRIS, ORB, 177, nan, nan
53, HARRIS, ORB, 152, nan, nan
54, HARRIS, ORB, 161, nan, nan
55, HARRIS, ORB, 139, nan, -22.985080
56, HARRIS, ORB, 123, nan, 126.954742
57, HARRIS, ORB, 125, nan, nan
58, HARRIS, ORB, 162, nan, nan
59, HARRIS, ORB, 121, nan, nan
60, HARRIS, ORB, 127, nan, nan

0, HARRIS, FREAK, 0, 0, 0
1, HARRIS, FREAK, 78, 12.320080, 21.816439
2, HARRIS, FREAK, 96, 12.219899, nan
3, HARRIS, FREAK, 79, 14.746746, nan
4, HARRIS, FREAK, 103, 16.509510, 12.128391
5, HARRIS, FREAK, 138, 15.583940, 39.584029
6, HARRIS, FREAK, 124, 12.886679, nan
7, HARRIS, FREAK, 128, 11.981315, 12.337898
8, HARRIS, FREAK, 131, 13.120670, 12.916210
9, HARRIS, FREAK, 88, 13.020670, nan
10, HARRIS, FREAK, 74, 11.342427, nan
11, HARRIS, FREAK, 102, 12.588132, nan
12, HARRIS, FREAK, 88, 8.848173, nan
13, HARRIS, FREAK, 103, 9.960280, 13.432725
14, HARRIS, FREAK, 102, 9.342840, nan
15, HARRIS, FREAK, 87, 8.363573, nan
16, HARRIS, FREAK, 128, 10.278060, 6.717055
17, HARRIS, FREAK, 92, 9.611036, nan
18, HARRIS, FREAK, 75, 8.397584, nan
19, HARRIS, FREAK, 105, 8.842841, nan
20, HARRIS, FREAK, 116, 7.507805, 15.160489
21, HARRIS, FREAK, 129, 6.721826, 11.303524
22, HARRIS, FREAK, 115, 8.498739, nan
23, HARRIS, FREAK, 88, 8.080008, nan
24, HARRIS, FREAK, 76, 7.329854, 11.622984
25, HARRIS, FREAK, 106, 6.985581, nan
26, HARRIS, FREAK, 106, 6.964027, 12.320243
27, HARRIS, FREAK, 172, 6.943196, 73.737637
28, HARRIS, FREAK, 145, 8.386108, 16.954060
29, HARRIS, FREAK, 146, 6.608878, nan
30, HARRIS, FREAK, 200, 10.335058, 12.033928
31, HARRIS, FREAK, 162, 10.056964, nan
32, HARRIS, FREAK, 89, 9.158701, -18.805656
33, HARRIS, FREAK, 85, 6.936604, nan
34, HARRIS, FREAK, 132, 11.275957, 10.989005
35, HARRIS, FREAK, 91, 8.573839, 8.526788
36, HARRIS, FREAK, 83, 9.188342, nan
37, HARRIS, FREAK, 189, 6.791257, 8.194107
38, HARRIS, FREAK, 114, 6.367849, 11.800000
39, HARRIS, FREAK, 107, 6.892141, 17.500570
40, HARRIS, FREAK, 122, 5.925724, 6.285899
41, HARRIS, FREAK, 110, 5.661101, -24.243135
42, HARRIS, FREAK, 112, 6.190135, 115.817245
43, HARRIS, FREAK, 112, 6.497391, -7507.899999
44, HARRIS, FREAK, 147, 5.778564, 11.415380
45, HARRIS, FREAK, 150, 7.144786, 11.749351
46, HARRIS, FREAK, 145, 8.603588, -20.559215
47, HARRIS, FREAK, 165, 8.201800, 18.222617
48, HARRIS, FREAK, 150, 9.639516, 5856.499998
49, HARRIS, FREAK, 140, 12.752858, 352.886857
50, HARRIS, FREAK, 139, 13.017200, 19.532737
51, HARRIS, FREAK, 207, 18.883202, nan
52, HARRIS, FREAK, 156, nan, nan
53, HARRIS, FREAK, 138, nan, nan
54, HARRIS, FREAK, 154, nan, nan
55, HARRIS, FREAK, 112, nan, nan
56, HARRIS, FREAK, 112, nan, nan
57, HARRIS, FREAK, 113, nan, nan
58, HARRIS, FREAK, 139, nan, nan
59, HARRIS, FREAK, 111, nan, nan
60, HARRIS, FREAK, 122, nan, nan

0, HARRIS, SIFT, 0, 0, 0
1, HARRIS, SIFT, 98, 12.320080, 10.908219
2, HARRIS, SIFT, 120, 12.219899, nan
3, HARRIS, SIFT, 104, 14.746746, -11.473146
4, HARRIS, SIFT, 147, 16.509510, 10.978246
5, HARRIS, SIFT, 200, 15.583940, 35.383263
6, HARRIS, SIFT, 196, 12.886679, 13.621705
7, HARRIS, SIFT, 202, 11.981315, nan
8, HARRIS, SIFT, 192, 13.120670, nan
9, HARRIS, SIFT, 123, 13.020670, nan
10, HARRIS, SIFT, 117, 11.342427, 10.293108
11, HARRIS, SIFT, 148, 12.588132, 11.741430
12, HARRIS, SIFT, 120, 8.848173, 12.244994
13, HARRIS, SIFT, 137, 9.960280, nan
14, HARRIS, SIFT, 138, 9.342840, 5.606097
15, HARRIS, SIFT, 127, 8.363573, -13.626283
16, HARRIS, SIFT, 188, 10.278060, 7.037751
17, HARRIS, SIFT, 127, 9.611036, 12.584845
18, HARRIS, SIFT, 112, 8.397584, nan
19, HARRIS, SIFT, 136, 8.842841, nan
20, HARRIS, SIFT, 163, 7.507805, 15.160489
21, HARRIS, SIFT, 170, 6.721826, 12.120576
22, HARRIS, SIFT, 173, 8.498739, 12.876473
23, HARRIS, SIFT, 113, 8.080008, 12.844522
24, HARRIS, SIFT, 113, 7.329854, 10.759948
25, HARRIS, SIFT, 150, 6.985581, 14.610922
26, HARRIS, SIFT, 145, 6.964027, 13.305091
27, HARRIS, SIFT, 255, 6.943196, 43.467853
28, HARRIS, SIFT, 218, 8.386108, 16.105573
29, HARRIS, SIFT, 208, 6.608878, 13.822911
30, HARRIS, SIFT, 306, 10.335058, nan
31, HARRIS, SIFT, 246, 10.056964, nan
32, HARRIS, SIFT, 120, 9.158701, -17.321830
33, HARRIS, SIFT, 110, 6.936604, 14.867341
34, HARRIS, SIFT, 188, 11.275957, 12.176084
35, HARRIS, SIFT, 118, 8.573839, nan
36, HARRIS, SIFT, 109, 9.188342, nan
37, HARRIS, SIFT, 262, 6.791257, 11.958446
38, HARRIS, SIFT, 149, 6.367849, 43.413914
39, HARRIS, SIFT, 153, 6.892141, nan
40, HARRIS, SIFT, 165, 5.925724, -19.809341
41, HARRIS, SIFT, 143, 5.661101, nan
42, HARRIS, SIFT, 143, 6.190135, 18.943586
43, HARRIS, SIFT, 140, 6.497391, 120.766414
44, HARRIS, SIFT, 202, 5.778564, nan
45, HARRIS, SIFT, 201, 7.144786, 183.342499
46, HARRIS, SIFT, 194, 8.603588, -20.559215
47, HARRIS, SIFT, 214, 8.201800, nan
48, HARRIS, SIFT, 200, 9.639516, nan
49, HARRIS, SIFT, 168, 12.752858, nan
50, HARRIS, SIFT, 174, 13.017200, nan
51, HARRIS, SIFT, 290, 18.883202, nan
52, HARRIS, SIFT, 200, nan, nan
53, HARRIS, SIFT, 176, nan, nan
54, HARRIS, SIFT, 184, nan, nan
55, HARRIS, SIFT, 168, nan, -19.605963
56, HARRIS, SIFT, 143, nan, nan
57, HARRIS, SIFT, 145, nan, nan
58, HARRIS, SIFT, 180, nan, nan
59, HARRIS, SIFT, 146, nan, nan
60, HARRIS, SIFT, 138, nan, nan

0, FAST, BRISK, 0, 0, 0
1, FAST, BRISK, 1023, 12.320080, 12.300000
2, FAST, BRISK, 994, 12.219899, 12.345282
3, FAST, BRISK, 962, 14.746746, 16.616273
4, FAST, BRISK, 960, 16.509510, 12.885663
5, FAST, BRISK, 1016, 15.583940, nan
6, FAST, BRISK, 969, 12.886679, 13.038573
7, FAST, BRISK, 917, 11.981315, 12.040983
8, FAST, BRISK, 925, 13.120670, 11.406610
9, FAST, BRISK, 927, 13.020670, 11.868356
10, FAST, BRISK, 956, 11.342427, 13.347326
11, FAST, BRISK, 954, 12.588132, 12.949216
12, FAST, BRISK, 965, 8.848173, 12.117402
13, FAST, BRISK, 966, 9.960280, 12.778433
14, FAST, BRISK, 998, 9.342840, 11.607725
15, FAST, BRISK, 1004, 8.363573, 11.407860
16, FAST, BRISK, 1037, 10.278060, 12.256560
17, FAST, BRISK, 1095, 9.611036, 9.293304
18, FAST, BRISK, 1068, 8.397584, 11.860611
19, FAST, BRISK, 990, 8.842841, 11.412450
20, FAST, BRISK, 1078, 7.507805, 12.849806
21, FAST, BRISK, 1095, 6.721826, 13.195063
22, FAST, BRISK, 1095, 8.498739, 11.780525
23, FAST, BRISK, 1138, 8.080008, 10.206101
24, FAST, BRISK, 1109, 7.329854, 12.417875
25, FAST, BRISK, 1123, 6.985581, 13.518450
26, FAST, BRISK, 1140, 6.964027, 11.557213
27, FAST, BRISK, 1136, 6.943196, 11.964278
28, FAST, BRISK, 1173, 8.386108, 11.670231
29, FAST, BRISK, 1146, 6.608878, 11.290914
30, FAST, BRISK, 1144, 10.335058, 13.850082
31, FAST, BRISK, 1186, 10.056964, 14.882820
32, FAST, BRISK, 1235, 9.158701, 12.402701
33, FAST, BRISK, 1207, 6.936604, 14.563279
34, FAST, BRISK, 1219, 11.275957, 11.314210
35, FAST, BRISK, 1238, 8.573839, 15.341570
36, FAST, BRISK, 1285, 9.188342, 12.343584
37, FAST, BRISK, 1269, 6.791257, 8.850281
38, FAST, BRISK, 1243, 6.367849, 14.262172
39, FAST, BRISK, 1275, 6.892141, 10.217219
40, FAST, BRISK, 1336, 5.925724, 8.783571
41, FAST, BRISK, 1281, 5.661101, 8.044604
42, FAST, BRISK, 1336, 6.190135, 7.920127
43, FAST, BRISK, 1359, 6.497391, 7.189515
44, FAST, BRISK, 1349, 5.778564, 8.452543
45, FAST, BRISK, 1301, 7.144786, 12.552253
46, FAST, BRISK, 1333, 8.603588, 9.273566
47, FAST, BRISK, 1293, 8.201800, 12.828016
48, FAST, BRISK, 1305, 9.639516, 12.412613
49, FAST, BRISK, 1355, 12.752858, 14.143663
50, FAST, BRISK, 1417, 13.017200, 18.177926
51, FAST, BRISK, 1447, 18.883202, 19.762096
52, FAST, BRISK, 1437, nan, nan
53, FAST, BRISK, 1478, nan, nan
54, FAST, BRISK, 1515, nan, nan
55, FAST, BRISK, 1316, nan, nan
56, FAST, BRISK, 1292, nan, nan
57, FAST, BRISK, 1425, nan, nan
58, FAST, BRISK, 1390, nan, nan
59, FAST, BRISK, 1263, nan, nan
60, FAST, BRISK, 1447, nan, nan

0, FAST, BRIEF, 0, 0, 0
1, FAST, BRIEF, 1305, 12.320080, 11.177575
2, FAST, BRIEF, 1333, 12.219899, 13.006897
3, FAST, BRIEF, 1308, 14.746746, 14.820583
4, FAST, BRIEF, 1252, 16.509510, 13.248256
5, FAST, BRIEF, 1284, 15.583940, nan
6, FAST, BRIEF, 1274, 12.886679, 41.782307
7, FAST, BRIEF, 1242, 11.981315, 12.758325
8, FAST, BRIEF, 1237, 13.120670, 12.766404
9, FAST, BRIEF, 1277, 13.020670, 13.923081
10, FAST, BRIEF, 1237, 11.342427, 16.214137
11, FAST, BRIEF, 1252, 12.588132, 13.635546
12, FAST, BRIEF, 1275, 8.848173, 12.983142
13, FAST, BRIEF, 1246, 9.960280, 13.148670
14, FAST, BRIEF, 1265, 9.342840, 11.703404
15, FAST, BRIEF, 1238, 8.363573, 12.607115
16, FAST, BRIEF, 1297, 10.278060, 14.551571
17, FAST, BRIEF, 1348, 9.611036, 11.341063
18, FAST, BRIEF, 1355, 8.397584, 13.790759
19, FAST, BRIEF, 1356, 8.842841, 41.284048
20, FAST, BRIEF, 1395, 7.507805, 13.265749
21, FAST, BRIEF, 1412, 6.721826, 12.287893
22, FAST, BRIEF, 1431, 8.498739, 14.344600
23, FAST, BRIEF, 1441, 8.080008, 11.967784
24, FAST, BRIEF, 1446, 7.329854, 13.148670
25, FAST, BRIEF, 1427, 6.985581, 10.869048
26, FAST, BRIEF, 1447, 6.964027, 12.954121
27, FAST, BRIEF, 1440, 6.943196, 13.518515
28, FAST, BRIEF, 1477, 8.386108, 14.095245
29, FAST, BRIEF, 1495, 6.608878, 13.250570
30, FAST, BRIEF, 1505, 10.335058, 12.397442
31, FAST, BRIEF, 1538, 10.056964, 23.236648
32, FAST, BRIEF, 1559, 9.158701, 17.237318
33, FAST, BRIEF, 1575, 6.936604, 62.599455
34, FAST, BRIEF, 1545, 11.275957, 16.778471
35, FAST, BRIEF, 1573, 8.573839, 13.668891
36, FAST, BRIEF, 1605, 9.188342, 12.658742
37, FAST, BRIEF, 1587, 6.791257, 13.222785
38, FAST, BRIEF, 1554, 6.367849, 14.774507
39, FAST, BRIEF, 1620, 6.892141, 52.531348
40, FAST, BRIEF, 1622, 5.925724, 18.102545
41, FAST, BRIEF, 1612, 5.661101, 7.875634
42, FAST, BRIEF, 1619, 6.190135, 16.473557
43, FAST, BRIEF, 1676, 6.497391, 19.484886
44, FAST, BRIEF, 1661, 5.778564, 14.034438
45, FAST, BRIEF, 1628, 7.144786, 21.553286
46, FAST, BRIEF, 1605, 8.603588, 15.815773
47, FAST, BRIEF, 1603, 8.201800, 15.277928
48, FAST, BRIEF, 1593, 9.639516, 16.380394
49, FAST, BRIEF, 1641, 12.752858, 17.327072
50, FAST, BRIEF, 1675, 13.017200, 22.352091
51, FAST, BRIEF, 1700, 18.883202, 24.518698
52, FAST, BRIEF, 1670, nan, nan
53, FAST, BRIEF, 1692, nan, nan
54, FAST, BRIEF, 1707, nan, nan
55, FAST, BRIEF, 1596, nan, nan
56, FAST, BRIEF, 1591, nan, nan
57, FAST, BRIEF, 1653, nan, nan
58, FAST, BRIEF, 1621, nan, nan
59, FAST, BRIEF, 1543, nan, nan
60, FAST, BRIEF, 1654, nan, nan

0, FAST, ORB, 0, 0, 0
1, FAST, ORB, 1220, 12.320080, 12.201870
2, FAST, ORB, 1234, 12.219899, 12.934828
3, FAST, ORB, 1238, 14.746746, 26.572394
4, FAST, ORB, 1188, 16.509510, 14.068845
5, FAST, ORB, 1232, 15.583940, nan
6, FAST, ORB, 1193, 12.886679, 55.978844
7, FAST, ORB, 1141, 11.981315, 12.934828
8, FAST, ORB, 1167, 13.120670, 12.186040
9, FAST, ORB, 1171, 13.020670, 12.871126
10, FAST, ORB, 1142, 11.342427, nan
11, FAST, ORB, 1160, 12.588132, nan
12, FAST, ORB, 1188, 8.848173, 12.983142
13, FAST, ORB, 1157, 9.960280, 13.562908
14, FAST, ORB, 1162, 9.342840, 11.296107
15, FAST, ORB, 1172, 8.363573, 10.713275
16, FAST, ORB, 1244, 10.278060, 12.101945
17, FAST, ORB, 1243, 9.611036, 11.951042
18, FAST, ORB, 1266, 8.397584, 109.968649
19, FAST, ORB, 1236, 8.842841, 19.794214
20, FAST, ORB, 1323, 7.507805, 13.076629
21, FAST, ORB, 1315, 6.721826, 12.278166
22, FAST, ORB, 1340, 8.498739, 10.810506
23, FAST, ORB, 1352, 8.080008, 9.625932
24, FAST, ORB, 1360, 7.329854, 9.161174
25, FAST, ORB, 1361, 6.985581, 14.366072
26, FAST, ORB, 1366, 6.964027, 13.878718
27, FAST, ORB, 1361, 6.943196, 42.404780
28, FAST, ORB, 1367, 8.386108, 13.163589
29, FAST, ORB, 1414, 6.608878, 12.218521
30, FAST, ORB, 1423, 10.335058, 16.223933
31, FAST, ORB, 1471, 10.056964, 14.165929
32, FAST, ORB, 1489, 9.158701, 16.357540
33, FAST, ORB, 1499, 6.936604, 15.967108
